runtime: 6.76
runtime: 0.00
(32, 32)  3   db2 error 6.161e-11 True
         1033043 function calls (1021110 primitive calls) in 15.470 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.000    0.000    0.001    0.000 __init__.py:652(__init__)
       21    0.000    0.000    0.000    0.000 pyparsing.py:3225(__str__)
        8    0.000    0.000    0.000    0.000 typing.py:1060(__init_subclass__)
        3    0.000    0.000    0.000    0.000 _six.py:36(__new__)
      114    0.000    0.000    0.000    0.000 traceback.py:243(__init__)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
       39    0.000    0.000    0.000    0.000 deprecation.py:211(finalize)
       12    0.000    0.000    0.012    0.001 artist.py:1242(__init__)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
       18    0.000    0.000    0.000    0.000 pyparsing.py:4779(parseImpl)
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
       42    0.000    0.000    0.000    0.000 pyparsing.py:1313(wrapper)
        1    0.000    0.000    0.003    0.003 backend_bases.py:1(<module>)
       44    0.000    0.000    0.000    0.000 core.py:138(get_object_signature)
       56    0.000    0.000    0.001    0.000 pyparsing.py:3901(<listcomp>)
       38    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
      247    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.005    0.005 base_events.py:1(<module>)
      191    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.001    0.001 package_importer.py:1(<module>)
      141    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
       67    0.000    0.000    0.000    0.000 fromnumeric.py:71(<dictcomp>)
        1    0.000    0.000    0.006    0.006 lines.py:1(<module>)
       35    0.000    0.000    0.000    0.000 pathlib.py:687(_from_parsed_parts)
      558    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.014    0.014 client.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
        1    0.000    0.000    0.001    0.001 module.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dviread.py:185(Dvi)
       86    0.000    0.000    0.000    0.000 pyparsing.py:4091(<genexpr>)
       39    0.000    0.000    0.000    0.000 deprecation.py:192(_deprecated_property)
        2    0.000    0.000    0.000    0.000 distributed.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6755(getdoc)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1452(setName)
       93    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       35    0.000    0.000    0.000    0.000 enum.py:332(__getattr__)
        1    0.000    0.000    0.004    0.004 _tensor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:5(<module>)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 colors.py:81(__init__)
       90    0.000    0.000    0.000    0.000 inspect.py:1708(_signature_get_user_defined_method)
        1    0.000    0.000    0.000    0.000 _core.py:1(<module>)
     32/9    0.000    0.000    0.002    0.000 pyparsing.py:4466(leaveWhitespace)
       36    0.000    0.000    0.000    0.000 constraints.py:163(__init__)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 annotations.py:1(<module>)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       15    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        9    0.000    0.000    0.000    0.000 deprecation.py:435(<listcomp>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
       20    0.000    0.000    0.001    0.000 pyparsing.py:4686(parseImpl)
       36    0.000    0.000    0.000    0.000 pathlib.py:724(__fspath__)
       34    0.000    0.000    0.000    0.000 functools.py:487(lru_cache)
       32    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
       15    0.000    0.000    0.000    0.000 typing.py:1160(_get_defaults)
       16    0.000    0.000    0.000    0.000 cycler.py:55(_process_keys)
       30    0.000    0.000    0.000    0.000 inspect.py:1826(_signature_is_builtin)
       40    0.000    0.000    0.000    0.000 os.py:748(encode)
       30    0.000    0.000    0.000    0.000 fromnumeric.py:2249(any)
       30    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       49    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
        1    0.000    0.000    0.001    0.001 pyparsing.py:5806(_makeTags)
        1    0.000    0.000    0.000    0.000 qconfig.py:1(<module>)
      197    0.000    0.000    0.000    0.000 typing.py:183(<listcomp>)
        1    0.000    0.000    0.001    0.001 PngImagePlugin.py:34(<module>)
      144    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        4    0.000    0.000    0.000    0.000 enum.py:869(_decompose)
        2    0.000    0.000    0.000    0.000 contextlib.py:429(callback)
       29    0.000    0.000    0.000    0.000 posixpath.py:228(expanduser)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.001    0.001 ElementTree.py:1(<module>)
        2    0.000    0.000    0.000    0.000 numeric.py:2274(within_tol)
        1    0.000    0.000    0.000    0.000 _methods.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:628(Axis)
       70    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       26    0.000    0.000    0.000    0.000 pathlib.py:1055(_make_child_relpath)
      252    0.000    0.000    0.000    0.000 rcsetup.py:58(func)
       21    0.000    0.000    0.000    0.000 pathlib.py:1035(__new__)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fontconfig_pattern.py:62(__init__)
        1    0.000    0.000    0.002    0.002 image.py:1(<module>)
       47    0.000    0.000    0.000    0.000 pyparsing.py:2896(parseImpl)
        1    0.000    0.000    0.000    0.000 _trace.py:1(<module>)
       12    0.000    0.000    0.000    0.000 posixpath.py:150(dirname)
       19    0.000    0.000    0.000    0.000 __init__.py:2271(_check_shape)
       16    0.000    0.000    0.000    0.000 cycler.py:112(__init__)
        1    0.000    0.000    0.000    0.000 markers.py:145(MarkerStyle)
        1    0.000    0.000    0.001    0.001 dataset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2708(MaskedArray)
        1    0.000    0.000    0.007    0.007 axes3d.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tasks.py:1(<module>)
      109    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       29    0.000    0.000    0.000    0.000 _typing.py:279(__init__)
        1    0.000    0.000    0.001    0.001 backend_tools.py:1(<module>)
        1    0.000    0.000    0.030    0.030 hub.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _tensor.py:597(__iter__)
       40    0.000    0.000    0.000    0.000 rcsetup.py:51(__init__)
        2    0.000    0.000    0.000    0.000 _backend.py:1(<module>)
        1    0.000    0.000    0.049    0.049 figure.py:1(<module>)
       20    0.000    0.000    0.001    0.000 pyparsing.py:4847(parseImpl)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:153(_add_integer_aliases)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       32    0.000    0.000    0.000    0.000 warnings.py:437(__init__)
        1    0.000    0.000    0.003    0.003 dataloader.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _base.py:1(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:461(wrapper)
        1    0.000    0.000    0.003    0.003 _recursive.py:1(<module>)
        7    0.000    0.000    0.004    0.001 _ops.py:56(__getattr__)
       12    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
       20    0.000    0.000    0.000    0.000 typing.py:496(__init__)
      144    0.000    0.000    0.000    0.000 pyparsing.py:2599(__hash__)
        1    0.000    0.000    0.000    0.000 opcode.py:2(<module>)
       83    0.000    0.000    0.000    0.000 _script.py:787(<lambda>)
        1    0.000    0.000    0.000    0.000 ticker.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mlab.py:1(<module>)
        1    0.000    0.000    0.002    0.002 legend.py:1(<module>)
       13    0.000    0.000    0.000    0.000 deprecation.py:277(_rename_parameter)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 path.py:23(Path)
        1    0.000    0.000    0.003    0.003 reduction.py:10(<module>)
        1    0.000    0.000    0.021    0.021 collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 figure.py:220(Figure)
        1    0.000    0.000    0.000    0.000 tarfile.py:29(<module>)
       27    0.000    0.000    0.000    0.000 pathlib.py:800(name)
       38    0.000    0.000    0.000    0.000 typing.py:1435(_alias)
       26    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       14    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
       20    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        1    0.000    0.000    0.000    0.000 ntpath.py:2(<module>)
       86    0.000    0.000    0.000    0.000 kl.py:40(register_kl)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        7    0.000    0.000    0.000    0.000 tokenize.py:295(detect_encoding)
        1    0.000    0.000    0.001    0.001 _internal.py:1(<module>)
        2    0.000    0.000    0.000    0.000 helper.py:1(<module>)
      143    0.000    0.000    0.000    0.000 inspect.py:63(ismodule)
       86    0.000    0.000    0.000    0.000 kl.py:71(decorator)
        1    0.000    0.000    0.000    0.000 texmanager.py:47(TexManager)
        1    0.000    0.000    0.031    0.031 contour.py:1(<module>)
        2    0.000    0.000    0.003    0.002 _utils.py:1(<module>)
      148    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       20    0.000    0.000    0.000    0.000 pyparsing.py:1860(resetCache)
        1    0.000    0.000    0.001    0.001 unix_events.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _multilevel.py:6(<module>)
       21    0.000    0.000    0.000    0.000 pathlib.py:674(_from_parts)
        1    0.000    0.000    0.000    0.000 _lobpcg.py:1(<module>)
        1    0.000    0.000    0.008    0.008 quantize.py:1(<module>)
       32    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        9    0.000    0.000    0.000    0.000 _dill.py:201(get_file_type)
        1    0.000    0.000    0.001    0.001 financial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       76    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
      4/1    0.000    0.000    0.008    0.008 __init__.py:146(_lazy_init)
        2    0.000    0.000    0.000    0.000 batchnorm.py:1(<module>)
        1    0.000    0.000    0.006    0.006 artist.py:1(<module>)
       30    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(linspace)
        9    0.000    0.000    0.000    0.000 utils.py:74(__call__)
        1    0.000    0.000    0.002    0.002 subprocess.py:10(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.000    0.000 _stdlib.py:1(<module>)
       11    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        1    0.000    0.000    0.000    0.000 _tensor.py:50(Tensor)
      144    0.000    0.000    0.000    0.000 pyparsing.py:4026(<genexpr>)
        1    0.000    0.000    0.000    0.000 observer.py:2(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
       32    0.000    0.000    0.001    0.000 contextlib.py:108(__enter__)
    34/26    0.000    0.000    0.000    0.000 pyparsing.py:4086(__str__)
       37    0.000    0.000    0.000    0.000 rcsetup.py:558(_validate_linestyle)
        2    0.000    0.000    0.001    0.000 streams.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _pyio.py:1(<module>)
        1    0.000    0.000    0.001    0.001 common_types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 memory.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scale.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:732(__init__)
       25    0.000    0.000    0.000    0.000 pyparsing.py:4841(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:1893(get_aliased_and_aliases)
        1    0.000    0.000    0.000    0.000 _polybase.py:17(ABCPolyBase)
      282    0.000    0.000    0.000    0.000 pyparsing.py:3144(<genexpr>)
        1    0.000    0.000    0.003    0.003 __init__.py:10(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:4236(__init__)
        3    0.000    0.000    0.001    0.000 patches.py:1867(pprint_styles)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _parser.py:315(_convert)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:582(_ReducedHCT_Element)
        1    0.000    0.000    0.006    0.006 cm.py:1(<module>)
        6    0.000    0.000    0.000    0.000 typing.py:248(_tp_cache)
       85    0.000    0.000    0.000    0.000 cycler.py:138(keys)
       84    0.000    0.000    0.000    0.000 overrides.py:105(decorator)
        1    0.000    0.000    0.000    0.000 _methods.py:143(_mean)
      307    0.000    0.000    0.000    0.000 __init__.py:722(__iter__)
       16    0.000    0.000    0.000    0.000 pyparsing.py:3197(parseImpl)
        1    0.000    0.000    0.001    0.001 constraint_registry.py:1(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:886(<listcomp>)
        1    0.000    0.000    0.001    0.001 std.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _parser.py:2(<module>)
        6    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       49    0.000    0.000    0.000    0.000 pyparsing.py:593(__getitem__)
       32    0.000    0.000    0.000    0.000 contextlib.py:238(helper)
        1    0.000    0.000    0.000    0.000 _typing.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _functional.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lines.py:200(Line2D)
        1    0.000    0.000    0.000    0.000 copy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:59(_check_capability)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
       10    0.000    0.000    0.000    0.000 version.py:307(parse)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:78(bitname)
        1    0.000    0.000    0.034    0.034 backend_qt5agg.py:1(<module>)
       11    0.000    0.000    0.002    0.000 pyparsing.py:1901(parseString)
       19    0.000    0.000    0.000    0.000 path.py:193(_update_values)
     23/7    0.000    0.000    0.000    0.000 pyparsing.py:4485(streamline)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fd6d6b92f70}
        1    0.000    0.000    0.000    0.000 quiver.py:1(<module>)
       14    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 pooling.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
      103    0.000    0.000    0.000    0.000 inspect.py:2234(<lambda>)
        1    0.000    0.000    0.004    0.004 _pickle.py:1(<module>)
        2    0.000    0.000    0.000    0.000 normalization.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function.py:1(<module>)
       49    0.000    0.000    0.000    0.000 __init__.py:223(_releaseLock)
       50    0.000    0.000    0.000    0.000 constraint_registry.py:87(register)
       12    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
    86/30    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
       84    0.000    0.000    0.000    0.000 overrides.py:94(set_module)
        1    0.000    0.000    0.000    0.000 _pytree.py:1(<module>)
        6    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(any)
        2    0.000    0.000    0.000    0.000 numeric.py:2197(isclose)
       97    0.000    0.000    0.000    0.000 docstring.py:65(do_copy)
       98    0.000    0.000    0.000    0.000 pyparsing.py:2551(streamline)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
  108/107    0.000    0.000    0.000    0.000 __init__.py:235(wrapper)
       26    0.000    0.000    0.000    0.000 core.py:922(__init__)
       15    0.000    0.000    0.000    0.000 _jit_internal.py:389(boolean_dispatch)
        1    0.000    0.000    0.001    0.001 backend_agg.py:1(<module>)
        2    0.000    0.000    0.001    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyplot.py:1872(get_plot_commands)
      112    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
       57    0.000    0.000    0.000    0.000 re.py:270(escape)
        1    0.000    0.000    0.004    0.004 axis.py:1(<module>)
        7    0.000    0.000    0.000    0.000 pathlib.py:1094(home)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2292(__or__)
       49    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.004    0.004 __init__.py:141(_load_global_deps)
        1    0.000    0.000    0.001    0.001 secrets.py:1(<module>)
        1    0.000    0.000    0.094    0.094 bz2.py:341(decompress)
       42    0.000    0.000    0.000    0.000 docstring.py:43(update)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
       16    0.000    0.000    0.000    0.000 pyparsing.py:852(__iadd__)
       23    0.000    0.000    0.001    0.000 overrides.py:206(decorator)
        1    0.000    0.000    0.020    0.020 qt_compat.py:1(<module>)
        1    0.000    0.000    0.007    0.007 auto.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_qt5.py:643(NavigationToolbar2QT)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1473(_array_str_implementation)
        3    0.000    0.000    0.000    0.000 posixpath.py:334(normpath)
        1    0.000    0.000    0.001    0.001 events.py:1(<module>)
        1    0.000    0.000    0.036    0.036 _subplots.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _subplots.py:199(subplot_class_factory)
      160    0.000    0.000    0.000    0.000 enum.py:462(<lambda>)
        1    0.000    0.000    0.000    0.000 uuid.py:1(<module>)
        9    0.000    0.000    0.000    0.000 enum.py:827(__or__)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:1134(_Unpickler)
       18    0.000    0.000    0.000    0.000 transforms.py:52(_make_str_method)
        1    0.000    0.000    0.003    0.003 tempfile.py:1(<module>)
       56    0.000    0.000    0.000    0.000 patches.py:1901(_register_style)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
       11    0.000    0.000    0.000    0.000 pyparsing.py:5454(_escapeRegexRangeChars)
       43    0.000    0.000    0.000    0.000 __init__.py:772(__init__)
       44    0.000    0.000    0.000    0.000 __init__.py:189(_checkLevel)
       53    0.000    0.000    0.000    0.000 six.py:177(_add_module)
       90    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       74    0.000    0.000    0.000    0.000 enum.py:197(<genexpr>)
        1    0.000    0.000    0.001    0.001 header.py:5(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:65(_bits_of)
        9    0.000    0.000    0.000    0.000 _torch_docs.py:10(parse_kwargs)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        1    0.000    0.000    0.001    0.001 loss.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:1615(__new__)
       32    0.000    0.000    0.000    0.000 pathlib.py:292(splitroot)
        9    0.000    0.000    0.000    0.000 weakref.py:284(update)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
       16    0.000    0.000    0.000    0.000 cycler.py:468(cycler)
        2    0.000    0.000    0.000    0.000 _functions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fake_quantize.py:1(<module>)
       56    0.000    0.000    0.000    0.000 pathlib.py:1045(_init)
      106    0.000    0.000    0.000    0.000 textwrap.py:474(predicate)
      134    0.000    0.000    0.000    0.000 six.py:88(__init__)
        1    0.000    0.000    0.000    0.000 grouping.py:1(<module>)
        1    0.000    0.000    0.000    0.000 reductions.py:338(init_reductions)
        1    0.000    0.000    0.002    0.002 platform.py:3(<module>)
        1    0.000    0.000    0.003    0.003 context.py:1(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2975(__array_finalize__)
        1    0.000    0.000    0.000    0.000 _state.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:234(_sanity_check)
        1    0.000    0.000    0.001    0.001 widgets.py:1(<module>)
      195    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 _formlayout.py:57(ColorButton)
      120    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
       72    0.000    0.000    0.000    0.000 pyparsing.py:1777(get)
        1    0.000    0.000    0.001    0.001 _vmap_internals.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:17(_fr0)
        6    0.000    0.000    0.000    0.000 deprecation.py:56(warn_deprecated)
        1    0.000    0.000    0.000    0.000 basic.py:1(<module>)
       11    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.011    0.011 textpath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 source.py:12(<module>)
       15    0.000    0.000    0.000    0.000 rcsetup.py:84(_listify_validator)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legend.py:269(Legend)
        1    0.000    0.000    0.000    0.000 _formlayout.py:1(<module>)
        9    0.000    0.000    0.001    0.000 fontconfig_pattern.py:119(parse)
        7    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 dataclasses.py:1(<module>)
       16    0.000    0.000    0.000    0.000 cycler.py:529(_cycler)
        5    0.000    0.000    0.000    0.000 {built-in method posix.open}
       20    0.000    0.000    0.000    0.000 typing.py:736(__mro_entries__)
       27    0.000    0.000    0.000    0.000 pyparsing.py:5098(__init__)
       30    0.000    0.000    0.000    0.000 _typing.py:337(__hash__)
      130    0.000    0.000    0.000    0.000 cycler.py:212(<genexpr>)
        3    0.000    0.000    0.000    0.000 common.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:1591(_make_nmtuple)
        1    0.000    0.000    0.000    0.000 polar.py:1(<module>)
        1    0.000    0.000    0.004    0.004 reductions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._init_names}
       14    0.000    0.000    0.000    0.000 pyparsing.py:4506(__str__)
       46    0.000    0.000    0.000    0.000 six.py:105(__init__)
        1    0.000    0.000    0.001    0.001 utils.py:5(<module>)
       97    0.000    0.000    0.000    0.000 multiarray.py:143(concatenate)
       14    0.000    0.000    0.000    0.000 copyreg.py:99(_slotnames)
        1    0.000    0.000    0.000    0.000 internal.py:1(<module>)
        1    0.000    0.000    0.003    0.003 callable.py:1(<module>)
    41/26    0.000    0.000    0.000    0.000 typing.py:272(<genexpr>)
        1    0.000    0.000    0.000    0.000 transformer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 conv_fused.py:1(<module>)
        9    0.000    0.000    0.000    0.000 deprecation.py:433(<listcomp>)
       26    0.000    0.000    0.001    0.000 _basic.py:16(_dispatch)
        8    0.000    0.000    0.000    0.000 deprecation.py:231(wrapper)
       97    0.000    0.000    0.000    0.000 docstring.py:63(copy)
        2    0.000    0.000    0.000    0.000 doccer.py:1(<module>)
       20    0.000    0.000    0.000    0.000 _jit_internal.py:697(_overload)
        1    0.000    0.000    0.000    0.000 parametrize.py:1(<module>)
        1    0.000    0.000    0.001    0.001 worker.py:1(<module>)
        1    0.000    0.000    0.000    0.000 package_importer.py:31(PackageImporter)
       30    0.000    0.000    0.000    0.000 inspect.py:1838(_signature_is_functionlike)
        1    0.000    0.000    0.014    0.014 fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:1087(SubplotTool)
       18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        4    0.000    0.000    0.000    0.000 dataclasses.py:669(_get_field)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:881(_find_spec_legacy)
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
       57    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       14    0.000    0.000    0.000    0.000 rcsetup.py:623(validate_capstyle)
       24    0.000    0.000    0.000    0.000 _mangling.py:32(is_mangled)
       30    0.000    0.000    0.000    0.000 getlimits.py:40(<lambda>)
        1    0.000    0.000    0.000    0.000 rendezvous.py:1(<module>)
        1    0.000    0.000    0.001    0.001 offsetbox.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 coroutines.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:155(_check_versions)
        7    0.000    0.000    0.000    0.000 getlimits.py:498(__init__)
        1    0.000    0.000    0.000    0.000 _swt.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      112    0.000    0.000    0.000    0.000 patches.py:1885(<genexpr>)
        1    0.000    0.000    0.000    0.000 container.py:398(ParameterList)
        6    0.000    0.000    0.000    0.000 six.py:91(__get__)
       10    0.000    0.000    0.002    0.000 pyparsing.py:5120(__init__)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        2    0.000    0.000    0.000    0.000 _pep440.py:292(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:39(_get_running_interactive_framework)
        3    0.000    0.000    0.000    0.000 dataclasses.py:487(_init_fn)
        1    0.000    0.000    0.000    0.000 pyplot.py:2172(<listcomp>)
      102    0.000    0.000    0.000    0.000 patches.py:1878(<genexpr>)
       44    0.000    0.000    0.000    0.000 pyparsing.py:4283(<genexpr>)
        1    0.000    0.000    0.000    0.000 artist.py:60(Artist)
        1    0.000    0.000    0.000    0.000 art3d.py:5(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:797(_create_pseudo_member_)
        1    0.000    0.000    0.002    0.002 __init__.py:26(<module>)
        1    0.000    0.000    0.001    0.001 afm.py:1(<module>)
       27    0.000    0.000    0.000    0.000 utils.py:102(__init__)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:22(Collection)
        7    0.000    0.000    0.003    0.000 platform.py:746(uname)
        1    0.000    0.000    0.000    0.000 constraints.py:1(<module>)
       16    0.000    0.000    0.000    0.000 observer.py:11(_with_args)
       18    0.000    0.000    0.001    0.000 rcsetup.py:437(validate_font_properties)
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
       58    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       33    0.000    0.000    0.000    0.000 _jit_internal.py:448(export)
        4    0.000    0.000    0.000    0.000 _pylab_helpers.py:79(destroy_all)
       27    0.000    0.000    0.000    0.000 pathlib.py:1126(glob)
        5    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        8    0.000    0.000    0.000    0.000 {built-in method posix.close}
